;Year;Month;vivienda;justicia;educación;empleo;medio ambiente;salud;social;ideología;economía;internacional;cultura;inseguridad ciudadana;jóvenes;servicios públicos e infraestructuras;corrupción;fuerzas armadas;tecnologia e investigación;terrorismo;otros
57;2007.0;4.0;0.0;0.0444170265268;0.0647748303516;0.0573719925972;0.0764959901295;0.0;0.0;0.0;0.236273904997;0.0431832202344;0.00863664404688;0.0579888957434;0.0734114743985;0.0715607649599;0.0462677359655;0.0265268352869;0.0271437384331;0.165946946329;0.0
58;2007.0;5.0;0.0382165605096;0.0154686078253;0.0409463148317;0.0204731574158;0.0919017288444;0.0350318471338;0.0;0.033212010919;0.28025477707;0.0277525022748;0.0350318471338;0.0;0.0191082802548;0.199272065514;0.024567788899;0.00636942675159;0.0122838944495;0.120109190173;0.0
59;2007.0;6.0;0.0220110055028;0.0695347673837;0.0455227613807;0.0585292646323;0.0885442721361;0.0405202601301;0.0140070035018;0.0040020010005;0.170585292646;0.0390195097549;0.0455227613807;0.0;0.153576788394;0.0790395197599;0.0135067533767;0.0940470235118;0.0190095047524;0.0430215107554;0.0
147;2007.0;7.0;0.03709827706;0.057068900195;0.049077170164;0.0488899668389;0.0781704411528;0.0394394342577;0.00700350175088;0.00200100050025;0.221108881827;0.051846953807;0.0388184725726;0.0;0.138340579746;0.0821156564009;0.0194652410951;0.0470235117559;0.0164182224922;0.0661137883839;0.0
60;2007.0;9.0;0.0521855486173;0.0446030330062;0.0526315789474;0.0392506690455;0.0677966101695;0.0383586083854;0.0;0.0;0.271632471008;0.0646743978591;0.0321141837645;0.0;0.123104371097;0.0851917930419;0.0254237288136;0.0;0.0138269402319;0.0892060660125;0.0
61;2007.0;10.0;0.0413043478261;0.15652173913;0.020652173913;0.0347826086957;0.0152173913043;0.0;0.0173913043478;0.0440217391304;0.152717391304;0.0;0.0184782608696;0.0146739130435;0.0760869565217;0.142934782609;0.0375;0.113043478261;0.0755434782609;0.0391304347826;0.0
62;2007.0;11.0;0.0;0.0;0.0696238068501;0.0449185850646;0.0668163952835;0.0432341381246;0.0;0.0;0.225715889949;0.078607523863;0.0477259966311;0.0213363279057;0.0864682762493;0.134755755194;0.0320044918585;0.078607523863;0.0202133632791;0.0499719258843;0.0
63;2007.0;12.0;0.0;0.0881670533643;0.0;0.0580046403712;0.0425367362722;0.0286156225831;0.0;0.0123743232792;0.127610208817;0.0262954369683;0.0386697602475;0.0;0.0355761794277;0.155452436195;0.126836813612;0.0572312451663;0.0092807424594;0.193348801237;0.0
148;2008.0;1.0;0.020035618878;0.0712429211612;0.0222617987533;0.0648438161785;0.0566646281539;0.0232125307929;0.00556544968833;0.0061871616396;0.144392815895;0.0536641922152;0.0253455657871;0.00645592163847;0.0714390247094;0.131154535105;0.0928039811603;0.0622309387007;0.0260116980329;0.116487401509;0.0
149;2008.0;2.0;0.030053428317;0.0627808550597;0.03339269813;0.0682634040821;0.0637285740948;0.0205109848978;0.0083481745325;0.0030935808198;0.152784119435;0.0673485698387;0.018683468557;0.0096838824577;0.0893704473502;0.119005584561;0.0757875649346;0.0647307854679;0.0343771758197;0.0780567016451;0.0
